route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
396,0000000022022091220230609,0003802012022091220230609,Conci "Villazzano 3",0,D530_T0303_Andata_sub2,1
396,0000000022022091220230609,0003802022022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802032022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802042022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802052022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802062022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802072022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802082022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802092022091220230609,Conci "Villazzano 3",0,D530_T0303_Andata_sub2,1
396,0000000022022091220230609,0003802102022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802112022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802122022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802132022091220230609,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000000022022091220230609,0003802142022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802152022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802162022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802172022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802182022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802192022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802202022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802212022091220230609,San Rocco Piazza,0,D552_T0337_Andata_sub1,1
396,0000000022022091220230609,0003802222022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802232022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802242022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802252022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802262022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802272022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802282022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802292022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802302022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802312022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802322022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802332022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802342022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000022022091220230609,0003802352022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802362022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802372022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000092022091220230609,0003802382022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000000032022091220230609,0003802392022091220230609,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
402,0000000032022091220230609,0003802402022091220230609,Gardolo "Materna Paludi",1,D651_T0718_Ritorno_sub1,1
402,0000000102022091220230609,0003802412022091220230609,Gardolo "Materna Paludi",1,D648_T0714_Ritorno_sub1,1
402,0000000102022091220230609,0003802422022091220230609,Gardolo "Materna Paludi",1,D648_T0714_Ritorno_sub1,1
402,0000000022022091220230609,0003802432022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000092022091220230609,0003802442022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802452022091220230609,Gardolo "Materna Paludi",1,D648_T0714_Ritorno_sub1,1
402,0000000252022091220230609,0003802462022091220230609,Gardolo "Materna Paludi",1,D648_T0714_Ritorno_sub1,1
402,0000000022022091220230609,0003802472022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802482022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802492022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000092022091220230609,0003802502022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000092022091220230609,0003802512022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000092022091220230609,0003802522022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000092022091220230609,0003802532022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000092022091220230609,0003802542022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802552022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802562022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802572022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802582022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802592022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
402,0000000022022091220230609,0003802602022091220230609,Canova Paludi,1,D638_T0704_Ritorno_PRINCIPALE_sub1,1
